Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
202100015894;229 674;173 260;A01;1;1;1;1;1979.0;1;1;8;-1;-1; -1;-1;43.0
202100015894;229 675;173 261;B01;1;1;4;1;1953.0;5;2;8;-1;-1; -1;-1;69.0
202100015899;229 664;173 251;A01;1;1;4;1;1996.0;4;2;0;-1;-1; -1;-1;26.0
202100015907;229 650;173 238;A01;1;1;4;1;1957.0;9;2;0;-1;-1; -1;-1;65.0
202100015907;229 651;173 239;B01;1;1;1;2;1983.0;9;1;0;-1;-1; -1;-1;39.0
202100015912;229 636;173 224;B01;1;1;1;1;1994.0;0;1;0;-1;-1; -1;-1;28.0
202100015912;229 637;173 225;A01;1;1;4;2;1967.0;0;8;8;-1;-1; -1;-1;55.0
202100015913;229 634;173 222;A01;1;1;4;1;1985.0;0;2;-1;-1;-1; -1;-1;37.0
202100015913;229 635;173 223;B01;1;1;3;1;1991.0;0;2;-1;-1;-1; -1;-1;31.0
202100015915;229 630;173 218;A01;1;1;4;2;1964.0;0;2;-1;-1;-1; -1;-1;58.0
202100015915;229 631;173 219;B01;1;1;1;1;1981.0;1;1;-1;-1;-1; -1;-1;41.0
202100015929;229 591;173 190;B01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202100015929;229 592;173 191;A01;1;1;4;1;1973.0;1;8;0;-1;-1; -1;-1;49.0
202100015936;229 574;173 178;A01;1;1;1;2;1982.0;9;8;-1;-1;0;0;-1;40.0
202100015936;229 575;173 179;B01;1;1;3;2;1967.0;0;0;-1;-1;0;0;-1;55.0
202100015942;229 560;173 167;B01;1;1;4;1;1981.0;9;8;0;-1;0;0;-1;41.0
202100015942;229 561;173 168;A01;2;2;1;1;2000.0;9;8;0;-1;0;0;-1;22.0
202100015942;229 562;173 168;A01;1;1;1;1;1986.0;9;8;0;-1;0;0;-1;36.0
202100015950;229 544;173 156;A01;1;1;4;2;1988.0;1;2;0;-1;0;0;-1;34.0
202100015960;229 522;173 139;A01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202100015960;229 523;173 140;B01;1;1;4;2;1970.0;1;0;0;-1;-1; -1;-1;52.0
202100015971;229 497;173 119;B01;1;1;4;2;1976.0;9;2;0;-1;-1; -1;-1;46.0
202100015971;229 498;173 120;A01;1;1;1;1;1982.0;4;8;0;-1;-1; -1;-1;40.0
202100015974;229 491;173 114;B01;1;1;4;1;2006.0;0;1;0;-1;-1; -1;-1;16.0
202100015974;229 492;173 115;A01;1;1;1;2;1964.0;0;1;8;-1;-1; -1;-1;58.0
202100015983;229 472;173 098;A01;1;1;1;2;1952.0;0;1;-1;-1;0;0;-1;70.0
202100015983;229 473;173 099;B01;1;1;3;1;1953.0;5;2;-1;-1;0;0;-1;69.0
202100015984;229 470;173 096;A01;1;1;1;1;1995.0;5;8;-1;-1;0;0;-1;27.0
202100015984;229 471;173 097;B01;1;1;3;1;1966.0;5;2;-1;-1;0;0;-1;56.0
202100016013;229 400;173 039;B01;1;1;3;1;1963.0;5;2;-1;-1;0;0;-1;59.0
202100016013;229 401;173 040;A01;1;1;1;1;2002.0;9;1;-1;-1;0;0;-1;20.0
202100016025;229 369;173 014;A01;1;1;1;2;1979.0;9;1;-1;-1;0;0;-1;43.0
202100016025;229 370;173 015;B01;1;1;4;1;1988.0;5;2;-1;-1;0;0;-1;34.0
