Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202300025042;13;12;2023;08:20;2;27;27299;2;1;2;3;BRIAND (AVENUE ARISTIDE);49,04971800;1,16460990
202300025047;29;6;2023;19:40;1;44;44109;2;1;1;3;2 Boulevard Ernest Dalby;47,22835000; -1,52635000
202300025059;30;6;2023;12:10;1;06;06027;2;2;1;3;VIAL RUE DU CAPITAINE DE FREGATE;43,65775500;7,16899600
202300025065;29;6;2023;13:20;1;75;75116;2;1;1;3;AVENUE DE LA GRANDE ARMEE;48,87678300;2,28558300
202300025071;30;6;2023;22:30;5;93;93055;2;3;1;3;Avenue Jean Lolive / Rue Charles Nodier;48,89086310;2,40144879
202300025075;30;6;2023;15:05;1;93;93071;2;1;1;3;Avenue Salvador Allende;48,94828912;2,52988867
202300025083;1;7;2023;09:10;1;67;67548;2;6;1;3;D30;48,64283400;7,60189500
202300025107;1;7;2023;10:10;1;30;30210;2;3;1;1;219 Route d'Anduze;43,91364600;4,00363700
202300025117;27;6;2023;13:00;1;34;34240;1;3;1;1;2 rue renÃ© salvador;43,61813200;3,95731500
202300025118;1;7;2023;13:00;1;13;13084;1;1;1;7;D67a;43,70954800;5,29060400
202300025122;30;6;2023;14:45;1;63;63470;1;1;1;3;RD 986;45,86503100;3,01523200
202300025150;18;6;2023;20:17;4;974;97411;2;3;1;3;BOIS DE NEFLES (ROUTE DE); -20,90364000;55,47820000
202300025157;30;6;2023;00:10;5;69;69385;2;1;2;7;Rue des MacchabÃ©es;45,75570000;4,81525000
202300025173;30;6;2023;00:10;5;59;59368;2;2;1;1;DE GAULLE RUE DU GENERAL;50,65772738;3,07380080
202300025177;29;6;2023;17:00;1;47;47323;2;2;1;1;ABIDJAN;44,42211000;0,70871000
202300025180;7;5;2023;19:01;1;44;44184;2;5;1;6;1 Rue Michel de Montaigne;47,28647000; -2,21847000
202300025191;29;6;2023;19:00;1;29;29232;2;2;1;3;Rue Laennec;47,99496559; -4,10809360
202300025215;12;10;2023;07:45;2;31;31555;2;1;1;3;AV JEAN CHAUBET;43,60461000;1,47543000
202300025216;29;6;2023;12:00;1;75;75120;2;1;8;1;AVENUE GAMBETTA;48,86347600;2,38983200
202300025231;29;6;2023;14:40;1;75;75110;2;3;1;6;RUE DES ECLUSES SAINT MARTIN;48,87734300;2,36582800
202300025242;29;6;2023;09:30;1;93;93048;2;9;1;3;Boulevard Aristide Briand;48,87262449;2,45331639
202300025245;29;6;2023;10:25;1;92;92075;2;1;1;2;LYCEE (BOULEVARD DU);48,82252000;2,28476000
202300025288;11;10;2023;22:45;3;94;94068;2;2;1;3;Rue Garnier PagÃ¨s;48,80011100;2,49730100
202300025312;11;10;2023;09:10;1;92;92050;2;6;8;3;NERUDA PABLO RUE;48,89568222;2,21584193
202300025313;12;10;2023;09:07;1;92;92048;2;1;3;3;PARIS (RUE DE) NÂ° 12 A 164;48,81440703;2,24675596
202300025314;12;10;2023;21:10;5;92;92026;2;9;1;3;STRASBOURG;48,89101128;2,24777484
202300025332;13;10;2023;15:15;1;71;71450;1;1;1;7;Route de Quincy;46,91699400;4,51518800
202300025335;13;10;2023;07:55;2;42;42149;2;6;1;2;Route de St Etienne;45,63843000;4,23592700
202300025340;12;10;2023;12:00;1;39;39013;2;3;1;1;Route de Villette;46,91333100;5,76722540
202300025352;10;10;2023;16:25;1;14;14431;1;1;1;2;D40;49,05655200; -0,11990500
202300025355;12;10;2023;10:10;1;64;64539;1;1;1;3;950 Route de Saint-Jean-Pied-de-Port;43,27317500; -1,02976400
202300025364;12;10;2023;15:15;1;49;49323;1;6;1;3;Rond point D323 - Avenue des Carreaux;47,50886400; -0,47114600
202300025383;11;10;2023;07:15;3;31;31395;1;1;1;2;avenue pic d'estats;43,42372800;1,30352100
